bbl,rs_units_19,rs_units_20,rs_units_21,total_units_19,total_units_20,total_units_21,boro,cd,ct_10,year_built,bldg_class,rs_share_19,rs_share_20,rs_share_21
1004500033,11,11,11,24,24,24,1,103,0038,1900,C7,0.4583333333333333,0.4583333333333333,0.4583333333333333
1004500043,3,3,3,13,13,13,1,103,0038,1900,C5,0.23076923076923078,0.23076923076923078,0.23076923076923078
1004510046,3,3,3,9,9,9,1,103,0040,1900,C7,0.3333333333333333,0.3333333333333333,0.3333333333333333
1004510056,2,2,2,7,7,7,1,103,0040,1900,C1,0.2857142857142857,0.2857142857142857,0.2857142857142857
1004520006,6,5,5,76,76,76,1,103,0040,1928,D4,0.07894736842105263,0.06578947368421052,0.06578947368421052
1004520021,4,4,3,15,15,15,1,103,0040,1900,C4,0.26666666666666666,0.26666666666666666,0.2
1004520043,1,1,1,21,21,21,1,103,0040,1900,C1,0.047619047619047616,0.047619047619047616,0.047619047619047616
1004520052,7,7,7,20,20,20,1,103,0040,1900,C1,0.35,0.35,0.35
1004540029,6,0,6,20,20,20,1,103,0040,1900,C4,0.3,0,0.3
1004610009,3,3,3,16,16,16,1,103,0038,1930,C7,0.1875,0.1875,0.1875
1004610043,4,4,4,22,22,22,1,103,0038,1967,C4,0.18181818181818182,0.18181818181818182,0.18181818181818182
1004610053,6,6,6,22,22,22,1,103,0038,1905,C1,0.2727272727272727,0.2727272727272727,0.2727272727272727
1004630014,5,5,5,20,20,20,1,103,0038,1900,C1,0.25,0.25,0.25
1004630023,8,0,0,9,9,9,1,103,0038,1920,C7,0.8888888888888888,0,0
1004630046,2,2,2,15,15,15,1,103,0038,1900,C7,0.13333333333333333,0.13333333333333333,0.13333333333333333
1004640051,0,4,4,22,22,22,1,103,0038,1900,C7,0,0.18181818181818182,0.18181818181818182
1004650047,18,18,18,18,18,18,1,103,0040,1940,D7,1,1,1
1004670056,6,6,6,20,20,20,1,103,0040,1900,C4,0.3,0.3,0.3
1004680017,1,0,1,9,9,9,1,103,0040,1910,C5,0.1111111111111111,0,0.1111111111111111
1004680046,14,14,14,35,35,35,1,103,0040,1920,D9,0.4,0.4,0.4
1004700002,3,3,0,16,16,16,1,102,0041,1920,C7,0.1875,0.1875,0
1004710017,4,3,3,10,10,10,1,102,0041,1900,C7,0.4,0.3,0.3
1004710041,14,14,14,22,22,22,1,102,0041,1900,C7,0.6363636363636364,0.6363636363636364,0.6363636363636364
1004710052,20,20,20,35,35,35,1,102,0041,1910,C7,0.5714285714285714,0.5714285714285714,0.5714285714285714
1004750032,2,0,2,2,2,2,1,102,0047,1896,O9,1,0,1
1004820031,3,3,3,16,16,16,1,102,0045,1900,C7,0.1875,0.1875,0.1875
1004890006,2,2,2,13,13,13,1,102,0047,1877,C1,0.15384615384615385,0.15384615384615385,0.15384615384615385
1004890037,3,3,0,40,40,40,1,102,0047,1905,C6,0.075,0.075,0
1004950043,2,0,0,5,5,5,1,102,0043,1900,S5,0.4,0,0
1004990037,5,5,5,9,9,9,1,102,0049,1878,D7,0.5555555555555556,0.5555555555555556,0.5555555555555556
1005020020,4,4,4,20,20,20,1,102,0049,1961,D9,0.2,0.2,0.2
1005020044,8,8,8,8,8,8,1,102,0049,1878,C7,1,1,1
1005030010,3,3,3,16,16,16,1,102,0049,1900,C4,0.1875,0.1875,0.1875
1005030045,2,2,2,25,25,25,1,102,0049,1902,C7,0.08,0.08,0.08
1005070017,4,4,4,8,8,8,1,102,0043,1925,C7,0.5,0.5,0.5
1005080044,14,13,13,27,27,27,1,102,0043,1910,C7,0.5185185185185185,0.48148148148148145,0.48148148148148145
1005090026,6,6,6,30,30,30,1,102,0043,1910,D9,0.2,0.2,0.2
1005180035,5,5,5,22,22,22,1,102,0049,1905,C7,0.22727272727272727,0.22727272727272727,0.22727272727272727
1005210034,3,0,0,21,21,21,1,102,005502,1902,C6,0.14285714285714285,0,0
1005250016,16,17,17,55,55,55,1,102,0065,1908,C1,0.2909090909090909,0.3090909090909091,0.3090909090909091
1005270056,3,5,5,16,16,16,1,102,0067,1873,C7,0.1875,0.3125,0.3125
1005270072,7,7,0,25,25,25,1,102,0067,1900,C7,0.28,0.28,0
1005280038,2,2,2,7,7,7,1,102,0067,1828,C7,0.2857142857142857,0.2857142857142857,0.2857142857142857
1005280063,11,11,11,19,19,19,1,102,0067,1910,D6,0.5789473684210527,0.5789473684210527,0.5789473684210527
1005290050,3,3,3,11,11,11,1,102,005502,1909,C5,0.2727272727272727,0.2727272727272727,0.2727272727272727
1005370012,11,10,9,32,32,32,1,102,0065,1903,C7,0.34375,0.3125,0.28125
1005390040,1,1,1,13,13,13,1,102,0065,1835,C7,0.07692307692307693,0.07692307692307693,0.07692307692307693
1005400005,7,6,6,18,18,18,1,102,0065,1824,C7,0.3888888888888889,0.3333333333333333,0.3333333333333333
1005400036,8,0,8,16,16,16,1,102,0065,1910,C7,0.5,0,0.5
