,BBL,Aleration_Count,altered_lessthan5yrs,altered_morethan5yrs,ClassANet_Avg,Enlargement_Count
354,1004110058,1,1,0,2.0,0
355,1004117504,1,0,1,5.0,0
356,1004120035,1,0,1,0.0,0
357,1004127502,1,0,1,5.0,1
358,1004140051,2,1,0,-7.5,0
359,1004140054,1,0,1,0.0,0
360,1004140059,1,0,1,1.0,0
361,1004150035,1,0,1,0.0,0
362,1004150065,1,1,0,7.0,0
363,1004150069,1,1,0,1.0,0
364,1004150078,1,0,1,0.0,0
365,1004160069,1,0,1,0.0,0
366,1004170011,1,0,1,0.0,0
367,1004170053,2,0,1,3.0,0
368,1004180037,1,0,1,0.0,0
369,1004180048,1,1,0,0.0,0
370,1004190072,1,0,1,0.0,0
371,1004190075,1,0,1,4.0,0
372,1004240006,1,1,0,-2.0,0
373,1004240010,1,1,0,12.0,1
374,1004240012,1,0,1,0.0,0
375,1004240031,1,0,1,1.0,0
376,1004240032,1,0,1,0.0,0
377,1004240037,1,0,1,8.0,0
378,1004250039,1,0,1,4.0,0
379,1004260012,2,0,1,0.0,0
380,1004260024,2,0,1,0.5,0
381,1004277503,1,0,1,4.0,0
382,1004277505,1,0,1,0.0,0
383,1004277506,1,1,0,4.0,0
384,1004277508,1,0,1,0.0,0
385,1004290021,1,0,1,-2.0,0
386,1004290033,1,0,1,0.0,0
387,1004290034,1,0,1,3.0,0
388,1004290042,1,0,1,0.0,0
389,1004340029,1,0,1,4.0,0
390,1004340046,1,1,0,1.0,0
391,1004347505,1,1,0,3.0,0
392,1004350006,1,0,1,4.0,0
393,1004360008,1,1,0,-3.0,0
394,1004380030,1,0,1,0.0,0
395,1004400033,1,0,1,0.0,1
396,1004420019,1,0,1,2.0,0
397,1004420020,1,0,1,2.0,0
398,1004437503,1,0,1,1.0,0
399,1004440045,1,0,1,-2.0,0
400,1004440047,1,0,1,0.0,0
401,1004450033,1,0,1,0.0,0
402,1004450037,1,0,1,1.0,0
403,1004450055,1,1,0,0.0,0
404,1004450062,1,1,0,-10.0,0
405,1004460002,1,0,1,1.0,0
406,1004490040,1,0,1,-2.0,0
407,1004490057,1,0,1,1.0,0
408,1004510001,1,0,1,1.0,0
409,1004510004,1,0,1,22.0,1
410,1004510015,1,0,1,1.0,0
411,1004510039,1,0,1,-2.0,0
412,1004510044,1,0,1,0.0,0
413,1004510045,1,0,1,1.0,0
414,1004510046,1,0,1,2.0,0
415,1004510047,1,0,1,1.0,0
416,1004510052,1,0,1,0.0,0
417,1004520028,1,1,0,-2.0,0
418,1004520031,1,1,0,5.0,0
419,1004520054,1,1,0,0.0,0
420,1004527501,1,0,1,0.0,0
421,1004550038,1,0,1,3.0,0
422,1004550042,1,0,1,0.0,1
423,1004570008,1,1,0,3.0,0
424,1004570029,1,0,1,16.0,0
425,1004580045,1,0,1,0.0,0
426,1004580047,1,0,1,1.0,0
427,1004587502,1,0,1,3.0,0
428,1004590007,1,1,0,3.0,0
429,1004590008,1,0,1,0.0,0
430,1004590019,1,1,0,0.0,0
431,1004597502,1,0,1,0.0,0
432,1004600041,1,0,1,1.0,0
433,1004610003,2,0,1,0.0,0
434,1004617502,1,0,1,-1.0,0
435,1004630044,1,0,1,-9.0,0
436,1004637501,1,0,1,17.0,0
437,1004647503,2,1,0,0.0,0
438,1004650053,1,0,1,0.0,0
439,1004660043,1,1,0,-3.0,0
440,1004667502,2,1,0,0.0,0
441,1004670017,1,1,0,1.0,0
442,1004670020,1,1,0,-5.0,0
443,1004670021,1,0,1,2.0,1
444,1004670025,1,0,1,0.0,0
445,1004670054,1,0,1,0.0,0
446,1004680020,1,1,0,-1.0,0
447,1004680025,1,0,1,-7.0,1
448,1004680034,1,0,1,4.0,0
449,1004690014,1,0,1,6.0,0
450,1004690017,1,1,0,2.0,0
451,1004690033,1,0,1,3.0,0
452,1004697502,1,0,1,0.0,0
453,1004710022,1,1,0,5.0,0
454,1004710029,1,0,1,-1.0,0
455,1004717502,1,0,1,1.0,0
456,1004730014,2,0,1,1.0,0
457,1004730016,1,0,1,0.0,0
458,1004730017,1,0,1,-3.0,1
459,1004730018,1,0,1,0.0,0
460,1004730043,1,0,1,0.0,0
461,1004737501,1,0,1,2.0,0
462,1004737503,1,0,1,3.0,0
463,1004740010,1,0,1,0.0,0
464,1004740013,1,0,1,4.0,0
465,1004740029,1,0,1,0.0,0
466,1004747508,1,1,0,0.0,0
467,1004750009,1,1,0,-2.0,1
468,1004750014,1,1,0,6.0,0
469,1004757502,2,1,0,-0.5,0
470,1004757511,1,0,1,5.0,0
471,1004760088,1,0,1,-4.0,0
472,1004780022,1,1,0,0.0,0
473,1004787503,1,1,0,7.0,0
474,1004790017,1,0,1,-2.0,0
475,1004800024,1,1,0,0.0,0
476,1004807502,1,0,1,9.0,0
477,1004810018,1,0,1,1.0,0
478,1004810022,1,1,0,0.0,0
479,1004817503,4,1,0,-0.25,0
480,1004820003,1,0,1,0.0,0
481,1004820007,1,0,1,0.0,0
482,1004820008,1,0,1,0.0,0
483,1004820013,1,1,0,0.0,1
